Seq_A,Seq_B,RR,RP,LR,LP
P07948,Q03405,1.0,1.0,0.6974,0.8951
Q15466,Q92786,0.6116,0.7331,0.1669,1.0
P59190,Q15276,0.8068,0.6154,1.0,0.7356
P41587,Q9BQY9,0.56,1.0,0.8353,1.0
P84022,Q01094,0.8725,0.77,0.6978,1.0
Q9UKG1,P20338,0.4065,1.0,1.0,0.9157
P45983,Q49A26,0.8323,1.0,0.5181,0.9076
P02545,Q07955,0.7573,0.3464,1.0,0.629
Q02535,Q92785,0.9297,0.3569,0.4355,0.7406
Q53GS9,O95777,0.5896,1.0,0.2967,1.0
O95983,Q9UJW3,0.8741,1.0,0.4194,0.6301
Q05513,P67775,0.8794,0.6054,0.7194,0.9104
P62879,Q70SY1,0.36,0.0295,0.9701,0.5558
P41240,Q9UHX1,0.4851,0.885,1.0,1.0
P01137,P61586,1.0,1.0,0.8893,0.414
Q02535,O75446,1.0,1.0,1.0,0.5465
Q00987,P50750,0.7266,0.8042,0.5858,0.4539
P06703,Q13546,0.6052,0.1809,1.0,0.0
P24941,P29590,1.0,1.0,0.7962,0.9573
P28482,Q15797,1.0,0.2921,0.8894,0.7412
P26368,P60842,0.899,0.8854,0.2038,0.702
Q9H6S3,Q9UDV6,0.8622,1.0,0.4489,1.0
Q9BUZ4,O00244,0.418,0.2037,0.8388,0.9052
Q96CV9,Q7Z434,0.9158,0.7604,1.0,1.0
Q13485,Q15583,0.8526,0.9186,0.9946,1.0
O15105,P04637,0.943,0.9766,1.0,0.5077
Q14186,Q16254,1.0,1.0,0.013,0.3281
Q8TAU0,Q9H9D4,0.5177,0.2872,1.0,0.2595
P18847,Q9H2S9,1.0,0.6407,0.7821,1.0
Q12933,Q8TDR0,0.9322,1.0,0.481,0.6911
P04141,P15509,0.685,0.5029,0.882,1.0
P31150,Q14192,1.0,1.0,0.5712,1.0
Q02040,Q01081,0.9504,0.7082,1.0,1.0
Q15910,Q07955,0.0661,0.528,1.0,0.0578
P31150,Q93096,1.0,0.7007,1.0,1.0
P07196,P17661,0.8047,1.0,0.8025,1.0
Q99576,O43524,0.8853,1.0,0.5272,0.4145
P18848,Q9UH92,0.9022,0.0,0.9744,1.0
P01100,P49736,1.0,0.7246,0.624,1.0
P04637,P31269,0.1392,0.0,0.9615,1.0
Q16828,Q93096,0.6355,1.0,0.6733,0.8901
P28482,Q8N5F7,0.6553,0.7183,0.8047,0.803
Q05516,O95983,1.0,0.6244,0.2704,0.5636
P27348,O43524,0.7003,1.0,1.0,1.0
P25963,P36915,0.7481,0.0,0.0,0.6342
Q92785,Q9UHR5,1.0,0.2801,1.0,0.8667
Q99986,P04637,0.942,0.072,0.9006,0.6977
P04150,P22087,1.0,0.5211,0.2031,1.0
P55854,Q9UKY1,1.0,0.3165,0.5284,0.6705
P26368,Q08170,0.9625,1.0,0.3317,0.7823
P08670,Q13330,0.907,1.0,0.1318,0.8937
O75175,Q70SY1,1.0,0.7716,1.0,0.8991
P41240,P05230,0.3247,0.8193,0.9105,0.6169
P31150,Q9H6S3,1.0,0.4412,0.4427,0.1152
P08047,P23511,1.0,0.7358,0.6793,0.857
P18847,Q8TAU0,0.8324,0.6728,0.3051,1.0
P62136,P78396,0.6609,0.2798,0.7656,1.0
P35222,Q14192,0.3456,1.0,1.0,0.719
Q9NZQ7,P26038,0.8398,0.2508,1.0,0.6965
Q86Y07,P51452,0.9509,0.416,0.608,0.3909
P07196,P21246,1.0,0.5268,0.6725,1.0
O60936,Q01130,0.8878,1.0,0.895,1.0
Q07021,Q13952,0.7719,0.8665,1.0,0.6254
P18847,Q13547,0.9906,0.9386,1.0,1.0
P35222,P04792,0.8155,1.0,0.8456,0.4633
P01137,P17980,0.4327,0.9728,0.4445,0.7512
Q92844,P48730,1.0,1.0,0.4239,0.8813
P28482,P11473,0.6502,0.5136,0.7385,1.0
O60683,Q92968,0.8915,0.616,0.6729,0.2884
Q05516,Q96QF0,0.4612,1.0,0.7738,0.2728
P20338,P21731,0.8859,0.9567,1.0,0.732
P31150,Q92785,0.6369,1.0,0.5826,0.5499
P30260,P20226,1.0,1.0,1.0,0.3884
P49736,P31949,0.2818,0.8409,0.7126,0.0884
P51149,Q16891,0.3317,0.0,1.0,0.4413
P18848,Q02535,0.6519,0.7423,0.0567,0.2321
P51693,Q7L311,0.9867,0.8675,0.7002,0.8441
Q15796,P19793,0.8183,1.0,1.0,1.0
O00623,Q92968,0.282,1.0,0.9969,0.4939
P49736,P49207,1.0,1.0,0.4895,1.0
Q8TBX8,Q9NQX6,0.9282,1.0,0.4352,0.7007
P62879,Q9NQX6,0.9705,1.0,0.5775,0.8024
P04792,Q96CV9,1.0,1.0,0.5195,0.6114
Q07021,Q05513,0.8966,0.9563,0.7585,1.0
P24941,Q9UBD5,0.7581,0.7285,0.7895,0.6272
P51572,P10415,1.0,0.8927,0.4468,1.0
O75414,P04637,0.9178,0.3087,1.0,0.1407
Q14192,Q02535,0.8773,0.2851,0.2045,0.6451
P04792,Q5T3J3,0.6279,0.2373,0.8884,0.9979
P25963,P41240,0.3112,0.7944,0.7559,0.9994
P13631,Q15466,0.9816,0.613,0.51,0.7401
P10828,Q92786,1.0,0.7337,0.6658,0.9603
P35240,Q92558,0.7837,0.969,0.6653,1.0
Q9UBP5,Q92575,0.7521,0.6543,1.0,0.5427
O43559,P61587,0.6659,1.0,0.8561,1.0
Q86XR8,P05230,1.0,0.506,1.0,0.961
Q07817,Q9UKY1,1.0,0.0378,0.8412,1.0
P15531,Q13232,1.0,0.5653,1.0,0.9172
P36915,Q92785,1.0,1.0,0.8729,0.0
P26641,Q9H213,0.04,0.5015,0.3119,0.2594
Q93096,Q9UH92,0.7068,1.0,0.684,0.2444
P51677,P17252,0.6087,0.9339,0.5831,0.9958
Q14192,P41240,0.0,0.809,0.0072,1.0
P26368,P26038,0.7823,1.0,1.0,0.6704
Q8TBX8,Q9UHX1,1.0,0.4495,1.0,0.4793
Q96B97,Q92956,0.8645,0.674,0.9452,0.7826
P84022,Q9UM13,0.0,0.7262,0.5791,1.0
P36915,Q9UH92,0.9852,0.9917,1.0,0.3639
Q13485,Q9BR65,1.0,0.9979,1.0,0.8537
O95361,Q01094,1.0,0.7066,0.5638,0.8838
P38936,Q9UHX1,0.2461,1.0,1.0,0.6141
Q9NY72,Q9UBY5,1.0,0.6551,0.4242,1.0
Q05513,P31946,0.7192,0.9629,0.9839,1.0
P25490,O75446,0.4677,1.0,1.0,0.625
P08670,P25963,1.0,1.0,0.3206,1.0
Q8TBX8,Q9UHR5,1.0,0.129,0.8918,0.6255
P17252,P25963,0.8403,0.8873,0.8228,1.0
Q15583,P05067,0.0348,0.8592,0.2626,0.9554
P24385,P38936,1.0,0.5538,0.2813,1.0
P63162,Q13363,0.1151,0.572,0.6507,0.0
O75400,P21246,0.7934,0.6975,0.7336,1.0
Q9UI95,P62873,0.7839,1.0,1.0,1.0
P17980,P42771,0.5724,1.0,0.745,0.1987
Q93096,Q9UHX1,1.0,0.7475,0.0646,0.0952
P26641,Q5T3J3,1.0,1.0,0.8122,0.5738
Q9H9D4,Q9UHX1,1.0,0.8863,1.0,0.2989
P18847,Q9UH92,1.0,0.5259,0.8081,1.0
P25963,Q93096,0.9979,0.6055,1.0,1.0
P62873,Q6Y2X3,0.329,1.0,0.4272,1.0
P15976,Q13547,0.4839,0.7233,1.0,0.7722
P38936,P63244,0.7356,0.3906,0.754,0.6161
P17036,Q9UHR5,0.8692,0.8884,0.1547,0.6012
P23297,P25815,0.1884,0.2364,0.6955,1.0
Q8NEU8,P51149,0.8302,0.2819,0.894,1.0
P15531,Q00987,0.9826,1.0,0.6789,0.8643
Q04771,P05111,0.8912,0.999,1.0,0.4296
Q8N5F7,Q13546,1.0,0.5275,1.0,0.3762
Q08117,O15379,0.6424,1.0,0.167,1.0
P60228,Q8IUI8,1.0,1.0,1.0,0.825
P08621,Q8N5F7,0.9721,0.4539,0.6995,1.0
P17661,P23297,1.0,0.8109,0.5605,0.444
Q9UH92,Q9UHR5,1.0,1.0,0.9304,0.9154
Q5T3J3,Q7L311,0.8008,0.3147,0.6089,1.0
P31946,Q13309,0.9741,0.9346,0.6882,0.6752
Q9UM11,P17980,0.9896,0.574,0.7588,0.3503
O60936,Q07955,0.8268,1.0,1.0,0.7039
P10276,Q00987,0.5856,0.5264,0.3409,0.9203
P28482,P24385,0.1031,0.8841,0.5663,1.0
O75175,Q9UHX1,1.0,1.0,0.6489,0.8394
P24941,P60228,0.0,0.5466,1.0,1.0
Q68DY1,Q9UHX1,0.3961,0.3205,0.8029,0.9514
P28328,Q04724,1.0,1.0,0.5381,0.4089
P26641,Q16891,0.9987,0.7757,1.0,1.0
O14640,P48729,0.8656,0.5026,1.0,0.9509
P25963,Q92730,0.7407,1.0,0.1547,0.269
P42771,P29590,0.5823,0.2182,0.5866,0.3661
P43403,Q6PIZ9,1.0,0.5479,1.0,0.8917
O75400,Q9H213,0.2629,1.0,1.0,1.0
Q01094,Q06546,0.6577,0.3037,1.0,0.5419
Q13485,Q13547,0.9039,0.0668,0.006,1.0
Q02535,Q9H2S9,1.0,1.0,0.6008,0.0
O60936,P63162,0.687,1.0,0.8497,0.0636
P18847,P36915,1.0,0.7529,1.0,0.5694
P17980,P04637,0.6531,0.9555,0.9483,0.6703
P41240,Q8N2W9,1.0,0.7331,0.1475,1.0
P60981,Q9Y2Q3,1.0,1.0,1.0,0.0934
P49841,P08621,0.4479,1.0,0.762,1.0
Q8IUC6,Q13077,0.8547,1.0,0.8149,1.0
O75414,P05067,0.6086,1.0,0.7925,1.0
P15976,Q13077,0.6904,1.0,0.4106,0.6648
Q99986,P55209,0.4362,1.0,0.3473,0.7497
O00623,O60683,1.0,1.0,0.9458,0.9484
P84022,P36897,0.0074,0.5056,0.485,0.753
P25815,P31269,0.8475,0.9953,1.0,0.6892
P06493,O75496,1.0,0.9996,1.0,0.6464
P17036,Q93096,0.8382,0.5965,0.589,1.0
O75175,Q9H2S9,0.4384,0.6914,1.0,1.0
P04792,Q9BUB5,0.9482,0.8959,0.6983,1.0
P04141,P26951,0.7594,0.7157,1.0,0.6932
Q8TDR0,Q9BUZ4,1.0,0.5065,0.3207,0.4886
Q15796,P48730,0.7674,0.4765,1.0,1.0
Q05516,P06493,0.0,0.2821,0.9141,1.0
Q96EV8,P48729,1.0,0.703,0.9406,1.0
P18848,Q16828,0.9776,0.0,0.7535,0.3292
P36915,Q16828,1.0,0.5191,0.3789,0.7281
Q92730,Q9H6S3,1.0,1.0,0.6845,0.7498
Q16828,Q68DY1,0.3574,0.7197,0.8233,1.0
P62879,Q6Y2X3,0.7776,1.0,0.5122,1.0
P18847,Q14192,1.0,0.4649,1.0,0.6816
Q12933,Q9UKG1,0.6269,0.2282,0.7389,0.7747
P38936,P11802,1.0,0.2918,1.0,0.3422
O15116,O94906,0.6453,0.6127,1.0,0.7183
Q9UDV6,Q9NQX6,0.8663,0.0,0.5566,1.0
Q13133,P42224,0.9555,1.0,1.0,0.4801
O75175,P62879,0.6849,0.7923,1.0,1.0
Q06587,P25490,0.0,0.5208,1.0,0.8912
P06703,P23297,0.9921,1.0,1.0,1.0
P04637,Q9UKY1,0.4326,1.0,0.9257,0.7745
O75190,P02533,0.923,1.0,0.7454,1.0
Q70SY1,O15492,0.4333,0.5802,0.9487,1.0
P17036,Q92730,0.9921,0.496,0.6401,0.9395
P63165,Q9Y2Q3,1.0,1.0,0.5847,0.833
Q16891,Q9H213,0.0416,1.0,0.7996,1.0
Q13239,Q6PIZ9,0.7558,0.2754,1.0,1.0
Q00987,P25490,0.0,0.7109,0.7261,0.0
Q92769,Q15750,0.8556,0.8214,0.5214,0.7588
Q96EV8,P62491,0.7291,1.0,1.0,1.0
P07196,Q5T3J3,0.8111,1.0,1.0,1.0
Q06481,P04233,0.9043,0.3871,1.0,0.4745
Q8N668,O00244,1.0,0.4608,1.0,0.2845
P62491,Q9NV70,0.5329,0.6449,1.0,0.4314
Q15910,Q13643,1.0,0.2797,0.5491,0.2211
P84022,P08621,0.9767,0.5858,0.5283,0.0212
P27918,P08174,0.2587,0.738,0.4084,1.0
P04637,P48729,0.2183,0.6706,1.0,1.0
O75175,Q9NQX6,0.601,0.9006,0.5064,0.846
Q9ULX6,P13861,0.1464,1.0,1.0,0.9339
Q8TBX8,Q9H6S3,0.538,1.0,1.0,0.3526
Q13077,Q96CA5,1.0,0.4141,0.7483,0.3333
P05787,P17980,0.5632,1.0,0.6369,1.0
O75558,Q13643,0.6833,0.8166,0.6023,1.0
Q92786,P84022,0.9903,0.9102,0.2325,0.2567
P18847,Q68DY1,0.6197,1.0,0.8287,1.0
Q96CV9,P51149,0.9502,1.0,1.0,0.8522
P63162,P08621,1.0,1.0,0.352,0.8833
Q9UM11,P02533,1.0,0.3231,0.807,0.3712
P23511,P20226,0.5346,1.0,0.9723,0.9233
Q49AN0,Q9UKC9,1.0,0.9879,0.8863,0.6216
P49459,P04637,0.5041,1.0,0.9971,0.5706
O43447,P98170,0.8194,0.776,1.0,0.2035
P21246,P55854,0.5461,1.0,1.0,1.0
P08700,P32927,0.2477,1.0,0.9327,0.4891
Q9BR65,P11802,0.2947,0.4123,0.0754,1.0
P20338,P51572,1.0,0.0,0.5661,0.9986
Q00987,P04637,0.5358,1.0,1.0,1.0
P25963,Q70SY1,0.6807,0.2688,0.7281,0.3058
P11802,Q13547,0.9995,1.0,1.0,0.3866
O60936,Q01081,0.6725,0.8503,0.6291,0.9723
P06493,Q07817,0.9343,0.764,1.0,0.5996
Q9H2S9,Q9UHX1,0.7184,0.6773,0.9604,0.4282
P18847,Q9NQX6,0.9254,0.9134,0.3774,0.6261
P51572,P08670,0.9745,1.0,0.8644,0.7442
P25963,P31150,0.8588,0.0,0.6054,0.9619
Q13485,P08621,0.3188,1.0,1.0,0.5297
P07196,P51693,0.7576,1.0,1.0,0.8878
Q14192,Q9H6S3,0.9057,0.8068,0.9325,1.0
P36915,Q9UHX1,0.6932,1.0,1.0,0.2456
P36871,P25815,0.3403,1.0,0.8459,0.4752
P18847,Q92785,0.6799,0.3824,0.9695,0.3185
Q70SY1,Q9UHR5,0.3093,0.4463,0.2138,0.7738
P62136,Q9HB40,0.4877,0.9967,0.1972,0.4809
Q70SY1,Q8TBX8,1.0,0.6592,1.0,1.0
Q13347,Q04771,0.5482,0.5405,0.9482,0.7404
P28482,Q14192,0.1513,0.5255,0.8616,0.4973
P24385,Q9UBD5,0.5875,0.8367,0.666,1.0
P05412,Q9UBD5,1.0,0.8237,0.7437,1.0
Q92730,Q92785,0.4775,1.0,1.0,0.0
P21246,P26641,1.0,0.8073,0.3127,1.0
Q16526,Q8NEZ5,0.8069,1.0,0.447,0.8993
Q08170,Q49A26,1.0,0.6496,0.4682,0.3689
O15105,P31273,1.0,1.0,0.8329,1.0
P63244,Q04759,0.9401,0.7042,0.5686,0.4781
P49768,P10415,0.3536,1.0,0.2953,0.2833
P30533,P05067,1.0,0.5928,0.111,0.0
O75190,P13647,0.5304,1.0,0.924,1.0
O75175,Q02535,1.0,0.4009,0.6041,0.8452
Q96I24,Q9UHX1,0.8543,0.6239,1.0,0.6261
Q92785,Q9H9D4,0.5203,0.4604,0.9698,0.0215
Q16526,Q07021,0.8218,0.7909,0.8587,0.7495
P25815,Q92786,0.3253,0.7661,0.8956,0.8213
P50750,Q12933,0.8446,0.6518,0.454,0.7552
P18847,Q8TBX8,0.0,0.4037,0.4925,1.0
O43194,Q9UBU3,0.8017,0.6386,1.0,0.8781
P98170,Q13077,0.5495,1.0,1.0,0.8279
P35240,Q9H204,0.0,0.1809,0.5738,1.0
Q9NV70,P61586,0.9385,0.9484,0.3123,1.0
P04637,Q13571,0.6389,0.332,0.8122,0.3991
P48729,P48730,0.4187,0.9897,0.9687,0.7303
Q01094,P49841,0.5172,1.0,0.7741,1.0
Q13133,Q96RL1,0.6859,0.1018,0.2436,0.3893
P01100,P15559,0.5708,0.534,0.4283,0.7701
Q49AN0,P17980,0.6539,1.0,1.0,0.6366
P08047,Q13547,0.5407,0.5681,0.9854,0.6903
P25963,Q9H6S3,0.0,0.8601,0.7,0.9255
Q9BUB5,P06730,0.0065,0.0571,0.3703,0.9912
P26368,Q01081,0.7612,0.4103,0.5211,0.9261
P41240,Q68DY1,0.8507,1.0,0.9601,1.0
Q16828,Q9NQX6,0.0,0.1855,1.0,0.7866
P62879,Q02535,1.0,0.9335,0.3342,0.3616
Q14192,Q9UH92,0.4016,0.9056,0.6545,0.7943
P35548,P28360,0.6877,0.8679,0.4533,0.4187
P51572,P17706,1.0,0.798,1.0,0.3592
P35222,P62136,1.0,0.7088,1.0,0.0381
Q96B97,Q07955,0.7395,0.9888,1.0,0.4339
Q9UKG1,P04792,1.0,1.0,0.726,1.0
Q15910,Q92890,0.5717,1.0,1.0,0.4804
Q15910,O95983,0.6761,1.0,1.0,0.915
P36915,Q68DY1,0.5243,0.0,0.4728,0.9169
P01100,P05067,1.0,0.504,0.6954,0.6298
P36915,Q9H6S3,0.6565,0.8363,0.8553,0.0637
P21246,P35222,1.0,0.7002,1.0,0.8394
O14640,P49841,1.0,1.0,1.0,1.0
P10398,P10415,0.991,1.0,0.2066,1.0
Q16828,P63096,1.0,0.5459,0.7212,0.175
Q9UKG1,P51149,1.0,0.3683,0.3621,0.819
Q9UDV6,Q9UH92,0.5969,0.5028,0.9146,1.0
Q9H2S9,Q9H9D4,0.5613,0.8058,0.6273,0.2912
Q8TCT9,Q9Y6X1,0.8568,0.531,1.0,0.4981
Q9HAV0,P50148,0.7149,0.5727,1.0,1.0
P07196,P26641,0.4181,0.8433,0.3966,0.3184
P27361,P67775,0.7209,0.3016,0.3439,1.0
P31269,P84022,1.0,0.3699,1.0,1.0
P04637,Q8N2W9,0.432,0.6445,1.0,0.6961
P35240,P20226,0.8152,0.5431,1.0,1.0
P25963,Q9UHR5,0.5527,1.0,0.9086,0.8856
Q9NQX6,P67775,0.6847,0.7354,1.0,1.0
P28482,P84022,0.002,0.698,0.3167,0.4171
Q04759,P31749,1.0,0.259,0.6651,0.6332
P05412,Q13547,1.0,0.7241,1.0,0.8895
P08621,P63244,0.62,1.0,1.0,0.5606
Q14192,Q92730,0.827,0.7786,0.7562,0.6539
P62879,Q9H9D4,0.5866,0.875,1.0,1.0
P31150,Q02535,0.7959,0.3138,0.6134,0.9773
O60896,P56589,0.7169,0.6239,1.0,0.9284
P31150,Q8TBX8,1.0,0.2139,1.0,0.1362
Q9H213,Q8N2W9,0.5023,0.8194,0.7683,0.5673
P21731,Q9UBU3,0.8948,0.7325,1.0,0.5041
Q5TD97,Q9H9D4,0.6621,0.7744,1.0,0.5191
P31150,P26038,0.0198,1.0,1.0,1.0
Q02535,Q93096,0.8968,1.0,1.0,0.9761
Q7L311,Q8N2W9,0.9667,1.0,0.8297,0.3873
Q9H2S9,Q9UH92,1.0,0.3786,0.4771,1.0
Q16763,P31749,0.7083,0.9643,0.9356,0.3347
P49841,O43194,1.0,0.9933,0.9049,0.6708
Q16254,P84022,0.7151,1.0,0.5981,0.6682
P04637,Q9ULX6,0.6556,0.8655,1.0,0.8488
P26641,Q7L311,1.0,1.0,0.0791,1.0
Q15466,P19793,0.7364,1.0,0.9088,0.7235
P10276,O15379,1.0,0.9011,0.2334,0.2082
Q15910,P27348,1.0,1.0,0.3277,1.0
P18847,Q16828,0.2934,0.658,0.3779,0.9971
P24385,P05787,1.0,0.7508,0.9352,0.8557
P15509,P08700,0.9437,1.0,0.9303,0.645
P25815,P07196,0.5553,0.9815,1.0,0.4243
Q00987,Q92769,0.9546,0.5973,0.8234,1.0
P61587,Q13309,1.0,0.5767,1.0,0.695
P31150,Q16828,1.0,1.0,0.7819,0.6855
P28482,P42771,0.0,0.8769,1.0,0.9876
P45983,Q06481,0.9142,1.0,0.5522,0.7739
P18847,Q9UHX1,0.7861,0.6905,0.4977,0.7652
Q68DY1,Q92730,0.8997,0.3097,1.0,1.0
Q13571,Q6PIZ9,1.0,1.0,0.7621,1.0
Q8N668,P25963,0.3165,0.4732,0.744,1.0
Q16828,Q9H2S9,1.0,0.5528,1.0,1.0
P06493,P26951,1.0,0.3759,1.0,1.0
Q13952,Q13547,0.6639,0.8803,1.0,0.2922
Q9BQY9,P48729,0.6981,1.0,0.9898,0.7564
Q12933,Q07955,0.2104,0.8367,0.9231,0.2943
Q9NQX6,Q9UHR5,0.3024,0.7392,0.9708,0.2571
P10147,P08174,0.13,0.9287,0.8834,0.6854
P62879,Q14192,1.0,0.9668,1.0,0.5198
O00167,P15531,0.4555,0.5578,0.9224,0.7385
Q8TBX8,Q9UH92,0.3533,1.0,0.7587,1.0
P42771,Q01094,1.0,1.0,0.8988,0.748
Q9UJW3,Q16254,0.6696,0.648,1.0,0.9525
Q15910,P84022,1.0,0.7041,1.0,0.0773
P18847,P41240,0.724,0.204,0.7846,1.0
Q8TBX8,Q92785,0.1053,1.0,1.0,0.5775
Q7Z434,Q92575,1.0,1.0,0.7677,1.0
O15116,O95777,1.0,0.2756,1.0,0.8489
Q13347,P60842,0.0975,0.5272,0.6277,0.811
P04637,Q13232,0.9897,0.7332,0.8604,0.0
O75175,Q92785,1.0,0.6713,0.3406,0.561
Q86XR8,P05787,0.7836,1.0,0.4989,1.0
Q8TCT9,P04233,0.5879,1.0,0.89,0.848
Q68DY1,Q9UH92,0.7976,0.9064,0.7419,1.0
P19793,Q05516,1.0,0.5608,0.1104,1.0
Q15276,Q86XR8,1.0,0.867,0.6,0.4887
P55854,Q16891,0.7063,0.6769,1.0,0.7288
P01137,P50750,0.2496,0.8289,1.0,1.0
P49841,Q9UHR5,0.9538,0.515,0.9524,1.0
P60842,P60228,0.8399,0.3934,0.6521,1.0
Q16384,Q96I24,1.0,0.7133,0.9557,1.0
P18847,Q02535,0.436,0.8008,0.4399,0.6382
P35222,P62491,1.0,1.0,0.907,0.8928
P23511,P38936,1.0,0.1715,0.8607,0.2656
Q9ULZ3,P29590,0.3731,1.0,0.2679,1.0
Q13643,Q08117,0.5818,1.0,0.3628,1.0
Q16828,Q8TAU0,1.0,0.9679,0.7584,0.8243
Q969F2,O14640,0.5543,0.9513,0.9199,0.3948
Q92785,Q9H2S9,0.7142,1.0,1.0,0.6927
Q93096,Q9H6S3,1.0,0.214,1.0,0.1064
Q49AN0,Q12933,0.596,0.9801,0.9271,0.4298
P51693,Q9H213,0.2584,1.0,0.9494,1.0
P62879,Q68DY1,0.7254,0.5996,0.5934,0.8512
P41240,P05412,1.0,0.4395,1.0,1.0
P11802,P07948,0.7572,0.5737,0.7912,0.8723
Q9UM11,P60842,0.8814,1.0,0.8993,0.4576
O15379,P18847,0.2722,1.0,1.0,0.5059
P18848,Q92785,0.777,0.2337,0.9604,0.3886
P17036,P31150,0.4472,0.8024,1.0,0.8797
P63244,P63096,0.5905,1.0,0.0,0.4312
P19793,Q96RL1,0.2912,0.3574,0.9442,1.0
Q70SY1,Q9UHX1,1.0,0.8234,0.9368,1.0
P04792,P60842,0.5263,1.0,1.0,0.3712
P10398,P49207,0.648,0.0744,1.0,0.659
P62879,P42224,1.0,0.5286,0.9424,0.6459
Q8NEU8,Q8IUI8,0.0981,0.5023,0.6359,1.0
P62879,Q16828,0.8606,0.4582,0.5062,1.0
Q9NY72,P04637,1.0,0.9528,0.665,0.7529
P19793,Q13133,0.6758,0.6384,0.682,0.6944
Q8TBX8,Q9H2S9,0.8487,0.4638,0.2281,0.8811
Q9BR65,P28482,0.8182,0.9458,0.8577,0.4373
P42224,Q8TAE8,0.6895,0.6666,0.4529,0.812
P01100,Q00987,0.8386,1.0,1.0,0.4538
Q08117,Q01105,0.5013,0.4618,1.0,0.7935
P28328,P56589,0.6453,1.0,1.0,1.0
Q00987,Q14192,0.8914,0.9019,1.0,0.3977
O75190,P14136,1.0,1.0,0.9534,1.0
Q13158,Q8IUC6,0.1763,0.1805,1.0,1.0
Q9H2S9,Q9UHR5,0.7433,0.7521,0.9248,0.8031
Q13642,Q5TD97,1.0,0.5426,0.1846,1.0
Q12933,P48729,0.1269,0.0026,1.0,0.4163
P10276,A6NIX2,1.0,1.0,0.6196,0.6977
Q92769,Q15942,0.4314,1.0,1.0,0.476
P36915,Q14192,1.0,0.974,0.0,0.6589
