Seq_A,Seq_B,RR,RP,LR,LP
Q99986,P55209,1.0,1.0,0.8566,0.9168
P25815,P31269,0.9473,1.0,0.7725,0.8736
Q8TDR0,Q9BUZ4,1.0,1.0,0.2101,0.8897
Q15796,P48730,0.8196,0.1897,0.8482,1.0
Q05516,P06493,1.0,0.6921,0.901,0.9811
P36915,Q16828,0.7978,0.7085,1.0,0.8833
Q16828,Q68DY1,1.0,0.396,0.8559,1.0
Q12933,Q9UKG1,0.9148,0.4147,0.8413,0.9935
O75175,P62879,0.5131,0.6542,0.0744,0.7091
O75190,P02533,1.0,0.8607,1.0,1.0
P17036,Q92730,0.5529,0.494,0.813,0.8467
P63165,Q9Y2Q3,0.9953,0.8518,1.0,0.989
Q16891,Q9H213,0.4954,0.2711,0.7072,0.5381
Q13239,Q6PIZ9,1.0,0.3865,1.0,0.3948
Q96EV8,P62491,0.5549,0.7557,0.6911,0.7067
Q06481,P04233,1.0,0.9982,0.2996,0.9074
P62491,Q9NV70,0.8965,0.6514,1.0,1.0
Q15910,Q13643,1.0,1.0,0.8315,0.6503
P84022,P08621,1.0,0.7955,0.9658,0.9872
Q9ULX6,P13861,1.0,0.3707,0.7953,1.0
P05787,P17980,0.7053,0.7425,0.7243,0.8142
Q96CV9,P51149,0.5493,1.0,0.5929,0.5933
P63162,P08621,0.2865,0.3571,0.6896,1.0
Q49AN0,Q9UKC9,0.4731,0.6789,1.0,0.9557
P49459,P04637,0.8976,0.8375,0.7701,1.0
O43447,P98170,0.881,0.595,0.5509,0.8726
P21246,P55854,1.0,0.5054,0.6959,0.436
Q9BR65,P11802,0.6818,0.2864,0.8546,1.0
P06493,Q07817,1.0,0.9502,0.6754,1.0
P18847,Q9NQX6,0.6668,0.4283,1.0,0.8626
Q13485,P08621,0.2134,1.0,0.9779,0.6475
P36915,Q9UHX1,0.9125,0.7285,0.7363,1.0
P36871,P25815,0.7392,0.28,1.0,1.0
P28482,Q14192,0.905,0.9356,0.6881,1.0
P05412,Q9UBD5,1.0,0.4255,0.7691,0.6694
Q92730,Q92785,1.0,0.4698,0.7462,1.0
O15105,P31273,0.4843,0.6156,0.9791,0.5431
P30533,P05067,1.0,0.9502,0.7536,0.7725
Q92785,Q9H9D4,1.0,0.9749,0.8041,1.0
Q16526,Q07021,0.3864,1.0,0.6541,0.8953
P18847,Q8TBX8,0.9551,0.9341,0.5139,0.7767
O43194,Q9UBU3,0.7861,1.0,0.5323,0.3655
P04637,Q13571,0.3773,0.97,1.0,0.6231
Q01094,P49841,0.6136,1.0,0.6484,0.9432
Q13133,Q96RL1,1.0,0.5284,0.697,0.364
P01100,P15559,1.0,1.0,0.6865,1.0
Q49AN0,P17980,0.6913,1.0,0.4894,1.0
P25963,Q9H6S3,0.8232,0.5945,0.5203,0.7378
Q9BUB5,P06730,0.871,0.5509,1.0,1.0
P26368,Q01081,1.0,0.3814,0.6764,0.6733
P41240,Q68DY1,0.5511,1.0,0.9795,0.2643
Q16828,Q9NQX6,0.6016,0.9693,0.9956,1.0
Q14192,Q9UH92,0.2637,1.0,1.0,1.0
P35548,P28360,0.9496,0.8763,0.6002,0.5837
P51572,P17706,1.0,0.8208,0.6936,1.0
Q9UKG1,P04792,0.3165,0.1762,0.8411,0.5545
Q15910,Q92890,0.7973,1.0,0.98,0.5988
Q15910,O95983,1.0,1.0,0.5956,0.6413
P36915,Q9H6S3,0.3931,0.867,1.0,0.9751
O14640,P49841,0.2811,1.0,1.0,0.8869
Q16828,P63096,0.2745,1.0,0.6489,0.5167
Q9UDV6,Q9UH92,0.3276,0.3437,1.0,0.3254
Q9H2S9,Q9H9D4,0.7993,0.0782,0.7209,0.4077
Q9HAV0,P50148,0.8726,0.2725,0.3608,1.0
P07196,P26641,0.8665,0.7402,0.5973,0.9907
P31269,P84022,0.7443,1.0,0.8095,0.7111
P35240,P20226,0.3183,0.2308,0.4896,0.7874
P28482,P84022,0.2893,1.0,1.0,0.8958
Q14192,Q92730,0.101,1.0,0.9991,0.8326
O60896,P56589,0.2284,0.2316,0.9778,0.8293
P31150,Q8TBX8,0.8914,0.5992,0.6634,1.0
P21731,Q9UBU3,1.0,0.7228,0.4338,0.7646
Q5TD97,Q9H9D4,0.7355,0.9897,0.8732,1.0
Q02535,Q93096,1.0,0.9954,0.4635,0.6434
Q9H2S9,Q9UH92,0.5286,0.8959,0.389,1.0
Q16763,P31749,1.0,0.7272,0.3281,0.4343
P49841,O43194,0.9205,1.0,0.6855,0.2069
P04637,Q9ULX6,1.0,0.6846,0.3129,0.7372
Q15466,P19793,0.8527,0.8026,0.5158,1.0
P24385,P05787,0.8874,0.9818,1.0,0.6605
P15509,P08700,1.0,0.6399,1.0,0.7104
Q00987,Q92769,0.8518,1.0,1.0,1.0
P61587,Q13309,0.9875,0.773,1.0,0.2441
P31150,Q16828,1.0,0.5566,0.8818,0.6788
P18847,Q9UHX1,0.6985,0.9325,0.7771,1.0
Q68DY1,Q92730,1.0,1.0,1.0,0.6325
Q8N668,P25963,1.0,0.6135,1.0,1.0
P06493,P26951,0.8817,1.0,1.0,0.7482
Q9BQY9,P48729,0.7339,1.0,0.9778,0.9878
Q12933,Q07955,0.1305,0.7163,0.9355,1.0
Q9NQX6,Q9UHR5,0.8691,0.6722,1.0,1.0
P62879,Q14192,0.6884,0.684,0.8088,0.5621
O00167,P15531,0.3752,0.659,1.0,1.0
P42771,Q01094,0.9759,0.9272,1.0,0.3252
Q8TBX8,Q92785,0.3328,0.422,0.6582,0.1975
Q7Z434,Q92575,1.0,0.9887,0.7222,0.8164
P04637,Q13232,0.4683,0.8113,0.9927,1.0
O75175,Q92785,0.2601,0.4234,0.9196,0.5648
Q86XR8,P05787,1.0,0.8155,0.3555,0.5452
Q8TCT9,P04233,1.0,0.6535,0.3105,0.9232
Q68DY1,Q9UH92,1.0,0.8091,1.0,0.6572
P55854,Q16891,1.0,0.6998,0.5873,0.4695
P01137,P50750,1.0,0.7606,1.0,1.0
P49841,Q9UHR5,1.0,1.0,0.9209,1.0
P60842,P60228,1.0,1.0,1.0,1.0
P35222,P62491,0.2268,0.9,0.4374,1.0
P23511,P38936,0.9297,0.8109,0.7124,0.756
P62879,Q68DY1,0.7523,0.8215,1.0,0.59
P41240,P05412,0.9982,0.5271,0.9368,1.0
Q9UM11,P60842,1.0,1.0,0.8773,0.1328
O15379,P18847,0.9922,0.7039,1.0,0.4454
P18848,Q92785,0.6346,0.7218,1.0,0.6538
P04792,P60842,0.9658,1.0,1.0,0.5829
P62879,Q16828,0.8192,1.0,1.0,0.7814
P19793,Q13133,1.0,1.0,0.8168,0.3586
Q9BR65,P28482,0.7519,1.0,0.4303,1.0
P42224,Q8TAE8,1.0,0.7371,0.8541,0.7497
Q08117,Q01105,0.2651,0.9426,0.7534,0.3222
P28328,P56589,0.6294,0.3981,0.721,1.0
O75190,P14136,0.7559,0.7618,0.0748,0.3061
Q12933,P48729,1.0,0.984,0.9041,0.9416
P36915,Q14192,0.0856,0.9897,1.0,1.0
P41240,Q93096,1.0,0.638,0.3302,0.8497
Q07812,P25490,1.0,0.6293,0.9446,1.0
P28328,Q9Y5Y5,0.6539,0.5808,1.0,1.0
Q12933,P63244,0.9788,0.7392,1.0,0.8101
Q12933,P27701,0.7041,0.9946,0.8283,1.0
Q8TAU0,Q9NQX6,0.4864,0.8794,0.9861,1.0
P56589,Q99986,0.8988,0.2834,1.0,0.9121
Q02040,Q13247,1.0,0.4935,0.7693,1.0
O60936,P62995,1.0,0.5299,0.7918,1.0
P84103,P26368,1.0,0.1902,0.5504,0.9067
Q70SY1,Q9NQX6,0.9771,0.7398,0.7483,0.656
P18754,P04637,0.4201,0.646,0.5702,1.0
Q56P03,Q16254,1.0,1.0,0.897,0.9473
P51572,Q86Y07,0.7098,0.1465,0.2478,0.4717
P51693,Q8N2W9,1.0,1.0,0.977,1.0
P06493,Q9UM11,1.0,1.0,0.3017,0.0815
P30533,P04637,0.539,1.0,0.5245,0.7323
P17036,P62879,1.0,0.9765,0.96,1.0
Q05513,P60228,0.9873,0.3,0.676,1.0
Q9BR65,P04637,1.0,0.693,1.0,0.7424
P08621,O43447,0.3838,0.7305,0.7583,1.0
Q9BUZ4,O43559,1.0,0.9751,1.0,0.7753
P04150,P62873,1.0,0.078,0.6262,0.6166
Q68DY1,Q8TAU0,1.0,0.7751,1.0,1.0
Q9H9D4,Q02535,0.4898,0.0783,0.915,0.6754
P25963,Q8TAU0,0.6096,0.6335,0.9505,0.1751
Q14192,Q9UHR5,1.0,1.0,0.8494,1.0
Q06546,P25311,0.51,0.9904,0.8011,0.4631
P18847,Q70SY1,1.0,0.8217,0.353,0.6618
Q07021,P36915,1.0,1.0,0.708,1.0
P25963,P62879,0.97,0.6981,0.9898,0.9868
P26368,Q9UHR5,0.9174,1.0,1.0,0.9993
O75558,P17980,0.7707,1.0,0.2351,1.0
O00623,Q9Y5Y5,1.0,0.0801,0.5994,0.8273
Q9NZQ7,P61769,0.8676,0.3755,0.8159,1.0
Q9H204,P50750,0.0848,0.0787,0.9916,0.8344
Q9UBB5,Q13547,0.176,0.9421,0.5026,1.0
Q7Z434,Q12933,1.0,0.8665,0.1885,1.0
P04637,P24385,1.0,0.863,0.5621,0.5525
P17036,Q9H9D4,0.8428,0.5822,0.8008,0.7744
P42229,P16410,0.4231,0.8392,0.7209,0.447
Q15910,P22087,1.0,1.0,0.2536,0.9356
Q9H2S9,Q9NQX6,1.0,1.0,1.0,1.0
P25963,Q9UHX1,0.8689,1.0,1.0,0.5107
P17252,P63244,0.8061,0.8219,0.9128,1.0
Q92785,Q93096,0.937,0.263,1.0,1.0
P26641,P51693,0.3947,0.5213,0.7313,0.9692
Q16828,Q9H9D4,0.9557,0.805,0.9956,0.5535
P10398,Q07817,0.4614,1.0,0.5691,1.0
P18848,Q8TAU0,0.8598,1.0,1.0,0.3006
P31150,Q68DY1,1.0,1.0,1.0,1.0
O75175,Q9UDV6,0.698,0.5568,1.0,0.2835
P36915,Q9H9D4,1.0,1.0,0.9181,0.7943
O43447,O94906,0.5485,0.8822,0.9927,0.5133
Q14192,Q8TAU0,1.0,1.0,0.6879,0.6384
P18848,Q9H2S9,1.0,1.0,0.1982,1.0
P63244,Q7Z434,0.8002,0.9815,1.0,0.9886
P38936,P55854,0.3724,0.5618,1.0,0.5968
P22681,Q13239,0.7423,0.517,0.5832,1.0
O15304,P04637,0.534,1.0,0.617,0.7037
Q92785,P67775,0.542,0.39,0.6443,0.1722
Q96RE7,Q7Z434,1.0,1.0,0.6808,0.7128
P31150,P41240,0.6842,0.7674,0.5982,1.0
P04150,Q8TAE8,0.95,0.9418,0.7665,0.746
Q70SY1,Q8TAU0,1.0,0.9756,0.6694,0.6385
P04792,P08670,0.871,0.6901,0.2378,1.0
A6NIX2,O60663,0.4766,0.4936,1.0,0.9728
Q16828,Q9H6S3,0.5352,0.5359,0.4245,0.9816
Q07955,Q49A26,0.7941,1.0,0.74,1.0
P41240,Q9UH92,0.5491,0.9982,0.3993,1.0
Q9Y2D8,Q15750,1.0,0.8294,0.8132,0.28
P49459,P50750,0.757,1.0,0.4577,0.0843
P19793,Q92786,1.0,1.0,0.5005,0.9379
Q13547,Q00688,1.0,0.966,0.7689,0.2388
Q9NQX6,Q9UH92,0.0868,0.5726,0.6422,1.0
P42771,P24385,1.0,0.9749,1.0,1.0
Q92730,Q9UH92,0.9722,0.8007,0.2612,0.6853
Q02535,Q9UHR5,0.8968,0.8348,0.0782,0.0835
Q9H6S3,Q9UH92,0.881,1.0,0.5065,0.7747
Q8TAU0,Q92785,0.1603,0.8403,0.642,0.741
P24941,Q02535,0.8957,0.9444,1.0,1.0
P36915,Q8TAU0,0.9462,0.4128,0.1743,1.0
Q5TD97,P27918,1.0,0.9472,1.0,0.9846
P50750,Q15796,0.713,1.0,0.7632,0.9765
O75400,P55854,1.0,0.1578,0.4974,0.2568
Q05516,P15976,0.897,0.7495,0.5543,1.0
P25963,Q9NQX6,1.0,0.46,0.4969,0.9965
P38936,P08670,1.0,0.7219,0.6986,0.8446
Q13485,P15172,1.0,0.3323,0.7864,0.6895
P18848,P62879,0.6873,0.4593,0.7621,1.0
Q93096,P05067,1.0,0.9027,1.0,1.0
P84103,P62995,1.0,1.0,1.0,0.5464
Q13485,Q9UM13,0.5696,0.6017,0.2408,1.0
P04637,Q07812,0.7367,0.9372,0.7875,1.0
P32927,P04141,1.0,0.2613,0.7365,0.4451
Q13643,P84022,1.0,0.6171,0.6676,0.7631
Q9H6S3,Q9NQX6,0.8081,0.7448,0.6613,0.5509
Q9H213,Q9UKY1,1.0,0.8117,0.9984,0.9385
P51965,P63165,0.9769,0.3066,0.5261,0.9593
Q9Y294,Q16254,0.2728,0.9873,0.7317,1.0
Q00987,P18847,0.792,1.0,1.0,0.9098
O75558,Q14192,0.308,1.0,0.6216,0.8661
O75175,P36915,1.0,1.0,0.8063,0.8622
P21246,Q9H213,1.0,1.0,1.0,0.5162
P04637,P55854,1.0,0.8237,0.3716,0.6683
Q68DY1,Q9UDV6,0.9424,1.0,0.9044,1.0
P21246,Q9UKY1,1.0,0.6812,1.0,0.4169
P35638,P01100,1.0,0.5689,0.8156,0.9938
P08047,Q9Y294,1.0,1.0,0.7232,1.0
P25815,Q9UK97,1.0,0.5169,0.9873,0.6726
P07948,Q6PIZ9,1.0,1.0,0.9886,0.7298
O75175,P25963,1.0,1.0,0.8816,1.0
P17036,Q9H2S9,0.8315,0.5156,1.0,0.9078
P18848,P36915,0.8189,0.7486,0.9787,0.9117
O75175,P18847,1.0,0.2281,0.8644,1.0
Q13547,P04792,1.0,1.0,1.0,0.9357
P18848,Q92730,0.9104,0.9812,0.7308,0.9845
O75558,Q13642,0.3971,0.2828,0.6779,0.9251
Q92769,O15105,1.0,0.9029,0.4325,0.3503
Q15796,Q15797,1.0,0.759,0.1077,0.5438
Q93096,Q9UHR5,0.8062,0.4485,0.9856,0.817
Q13158,O60936,1.0,0.5304,0.1521,0.7783
P61587,Q8WU20,0.9792,0.4547,0.3934,1.0
P26368,P22087,1.0,1.0,0.91,0.6227
Q16828,Q92730,0.7023,1.0,1.0,1.0
Q70SY1,Q9H9D4,0.0859,1.0,0.8271,1.0
P62879,Q92785,0.593,1.0,0.4851,0.7634
O60683,Q9Y5Y5,0.8433,0.7174,1.0,0.8833
Q9UBB5,Q9UJW3,1.0,1.0,1.0,1.0
Q92730,Q9H2S9,0.7732,0.953,0.5355,0.8327
Q9H9D4,Q9UH92,0.7914,0.0802,0.5968,0.8651
P51572,Q07812,1.0,0.6526,0.9463,0.9874
Q99576,P05412,1.0,1.0,0.8408,0.2159
Q02535,Q70SY1,0.8554,1.0,0.9836,0.413
Q92785,Q9UHX1,0.0844,0.7766,1.0,0.5628
P07196,Q7L311,0.9875,0.3166,0.5585,0.952
Q8TAU0,Q9UHR5,0.9935,0.9978,0.395,1.0
Q9NY72,O60683,0.5431,0.6365,1.0,1.0
Q01094,O00716,0.707,0.7264,0.9556,0.8371
Q92730,Q93096,0.7165,0.5208,0.8537,1.0
Q96CA5,P98170,0.5156,0.7046,0.9907,0.1794
Q9H204,P26038,1.0,0.8001,0.5563,1.0
Q00987,Q01094,1.0,0.7816,1.0,1.0
Q14192,Q05516,0.0837,0.9851,0.9429,0.3284
P45983,Q13158,0.4988,0.7524,0.7792,0.4967
Q9UH92,P05067,1.0,1.0,0.5636,1.0
Q6Y2X3,Q07021,0.4977,0.6518,1.0,1.0
P30260,Q9UI95,1.0,0.3545,0.8957,0.4013
P49459,Q9UHX1,0.9256,0.4066,1.0,1.0
Q92890,Q13309,1.0,1.0,0.8187,1.0
Q9Y294,P62136,1.0,1.0,1.0,0.8908
Q01130,Q02040,1.0,0.6758,0.5486,0.5727
P35348,Q07699,0.8348,0.9483,1.0,1.0
Q13309,P24941,1.0,0.8179,0.8687,0.9359
O75400,P26641,0.7786,1.0,1.0,1.0
Q02535,Q16828,0.9687,0.7106,1.0,0.6329
Q9UDV6,P41240,0.7645,0.0798,0.0738,0.7243
Q9BR65,P49768,0.7943,1.0,0.9053,1.0
Q8TBX8,Q9H9D4,1.0,0.4728,0.9968,1.0
P30260,P67775,1.0,0.8944,0.0764,1.0
O75175,P31150,1.0,1.0,0.6573,0.2131
P17036,P36915,1.0,1.0,0.076,0.5013
Q06330,P04637,0.968,1.0,0.9789,0.5314
P84103,Q02040,1.0,1.0,0.6603,1.0
P35222,P35638,1.0,1.0,1.0,0.2574
P18847,Q9UHR5,1.0,0.8454,0.7036,1.0
P04637,P10145,0.6272,1.0,0.0814,1.0
P41240,Q9H6S3,1.0,1.0,0.7323,1.0
P04637,P51149,0.5396,1.0,0.8532,0.9839
Q14192,Q9NQX6,1.0,0.9784,1.0,0.3055
Q49AN0,Q9UK97,0.5087,1.0,0.9494,0.6234
P31273,Q15796,0.956,0.7434,0.4947,1.0
O75190,P05787,1.0,0.9945,1.0,0.9278
P07196,P55854,0.5045,0.5261,0.6687,0.6482
O75175,Q9UHR5,0.5166,0.0803,0.7721,0.8355
Q15797,Q9UM13,0.3643,0.9004,1.0,0.0833
Q96B97,P04792,1.0,1.0,0.4163,0.6611
Q9H2S9,Q9UDV6,1.0,0.7335,0.2182,0.9091
O75175,Q92730,0.7523,0.6579,1.0,0.8652
P17036,Q16828,0.6708,0.0797,0.4507,0.588
P06493,P29590,0.5489,1.0,0.8236,0.5253
P35348,P35368,0.8156,0.1599,1.0,1.0
Q13547,P20226,0.6859,1.0,0.885,0.6717
Q13077,Q8TAE8,0.3421,0.7413,0.7729,0.9961
Q02040,P26368,0.3839,0.4316,0.6523,0.7932
Q16526,Q9UK97,1.0,1.0,0.5075,0.7806
P15531,P04792,1.0,0.4418,1.0,1.0
Q7Z434,Q13077,0.4857,0.6521,1.0,1.0
Q96EV8,P48730,0.8359,0.8253,0.9876,1.0
P51677,P10147,0.6629,0.8416,0.8735,0.9476
P17036,Q9UH92,0.8647,0.54,0.7911,0.905
P18848,Q93096,1.0,0.5332,1.0,0.992
Q14186,Q01094,0.8384,1.0,0.6727,1.0
P15172,Q01105,0.8874,1.0,0.8137,0.9971
P17036,Q9NQX6,1.0,0.6694,1.0,0.6912
Q68DY1,Q92785,0.7536,0.5228,0.9303,0.8575
P36915,P62879,0.6855,0.9521,0.8492,1.0
O75496,P49736,1.0,1.0,1.0,0.3986
O15492,P35368,0.9414,1.0,0.7274,0.2782
P31749,P25963,0.8404,1.0,0.9239,1.0
Q15276,P20338,0.594,0.9376,0.9815,0.2223
Q05513,P55209,1.0,0.7922,1.0,1.0
P41220,Q15942,0.7486,0.7668,0.493,0.6617
P25963,Q14192,1.0,1.0,0.4934,1.0
P04637,Q9H469,0.8741,1.0,0.4335,0.663
P18848,Q00987,0.5979,0.4149,0.6002,1.0
P36915,Q8TBX8,0.5396,0.9926,0.0779,1.0
Q06547,Q12933,0.7807,0.079,0.9851,1.0
Q13330,P25490,0.5745,1.0,0.7159,0.77
P41240,Q70SY1,0.8903,0.8244,0.6174,1.0
P24941,P63244,0.6556,0.8533,1.0,0.6536
Q7L311,Q9H213,0.5614,0.9794,0.5989,1.0
Q92769,P13647,0.7586,0.7706,1.0,0.5096
P06730,Q9HB40,0.1121,1.0,0.2448,1.0
Q99986,P18754,0.4186,0.9723,0.9437,0.9042
Q9NZQ7,P62491,0.0839,0.6632,0.3306,1.0
P18847,Q92730,1.0,1.0,0.7657,0.8599
Q49AN0,P27348,0.3619,0.2685,0.9925,0.7234
P62491,Q9UJ41,0.428,1.0,0.9751,0.2876
P26038,Q92558,0.9528,0.6079,0.7625,0.9973
P48729,P42224,0.8138,0.6842,0.5278,0.9018
O60936,Q13247,0.8935,0.7546,0.805,1.0
Q16526,P60842,0.9763,1.0,1.0,1.0
Q68DY1,Q9H6S3,0.3013,0.3301,0.3372,0.7254
P17036,Q8TAU0,0.6043,0.0794,0.107,1.0
P31749,O43524,0.997,0.7897,0.9059,0.8317
Q93096,Q8NEZ5,0.499,1.0,0.351,0.4116
O75190,P36871,0.2768,1.0,1.0,0.5375
O75175,Q68DY1,1.0,0.941,0.5889,0.6457
Q16254,Q14209,0.6119,0.3276,0.9404,0.9944
Q14192,Q93096,1.0,1.0,1.0,0.6049
Q92844,P48729,0.9925,1.0,0.6096,0.5998
O00716,Q14192,1.0,1.0,0.7085,0.7225
P10415,Q07820,0.8697,0.8351,0.4983,1.0
Q13547,Q9ULX6,0.3626,0.4743,0.467,0.9771
Q13642,P26368,1.0,0.6085,0.3093,1.0
O00220,Q13158,0.8855,0.0783,1.0,1.0
Q07955,P05067,1.0,1.0,0.3648,0.6826
Q16828,Q92785,0.4625,0.5838,1.0,0.9887
Q15750,Q12933,0.6731,0.9824,0.7188,1.0
Q13247,P62995,1.0,0.3631,0.738,0.5629
Q07812,P17980,0.1889,0.6985,0.9363,0.9533
P25963,P61586,0.9883,1.0,0.8488,0.8968
P28360,Q04724,0.5715,1.0,0.945,0.9047
P21731,P62491,1.0,0.9338,0.7882,0.9654
Q9UM11,Q07955,0.5907,1.0,1.0,0.9775
P26641,Q9UKY1,0.9016,1.0,0.9974,0.5701
P08621,Q13247,0.8612,0.3963,1.0,0.082
P38936,Q05516,1.0,1.0,0.7623,0.5444
Q02535,Q8TAU0,1.0,0.2928,0.5807,0.7843
