Seq_A,Seq_B,RR,RP,LR,LP
Q01130,Q16539,0.8074,1.0,1.0,1.0
P07948,Q03405,1.0,0.1396,1.0,1.0
Q15466,Q92786,1.0,0.8199,1.0,0.8044
P59190,Q15276,0.6498,1.0,0.7516,0.4212
P41587,Q9BQY9,0.4852,1.0,1.0,0.9222
P84022,Q01094,0.9991,0.81,0.8218,0.8613
Q9UKG1,P20338,0.3968,0.5331,0.8837,0.4849
P45983,Q49A26,0.6508,1.0,0.8219,0.1678
P02545,Q07955,0.9951,0.8679,1.0,0.9746
Q02535,Q92785,1.0,1.0,1.0,1.0
Q53GS9,O95777,0.5642,0.8492,0.7778,0.3776
O95983,Q9UJW3,0.1679,1.0,0.9164,1.0
Q05513,P67775,0.9685,0.4011,0.8477,0.7491
P62879,Q70SY1,1.0,0.0853,0.9331,1.0
P41240,Q9UHX1,0.3538,0.6098,0.6647,1.0
P01137,P61586,0.7411,1.0,1.0,0.7519
Q02535,O75446,1.0,1.0,1.0,0.8335
Q00987,P50750,1.0,0.8276,1.0,0.5575
P06703,Q13546,1.0,1.0,0.6182,0.8407
P24941,P29590,0.9983,0.7519,0.9925,0.4376
P28482,Q15797,0.7554,1.0,1.0,0.8962
P26368,P60842,0.651,0.7333,1.0,0.5481
Q9H6S3,Q9UDV6,1.0,1.0,0.3071,1.0
Q9BUZ4,O00244,1.0,0.0877,0.7688,1.0
Q96CV9,Q7Z434,0.8451,0.981,1.0,0.7965
Q13485,Q15583,1.0,0.6716,0.4001,0.8896
O15105,P04637,1.0,1.0,1.0,0.9921
Q14186,Q16254,0.6226,1.0,1.0,1.0
Q8TAU0,Q9H9D4,0.9917,1.0,0.5454,0.7178
P18847,Q9H2S9,0.4109,1.0,1.0,0.6531
Q12933,Q8TDR0,0.4604,1.0,0.5551,1.0
P04141,P15509,1.0,0.7994,1.0,0.9919
P31150,Q14192,1.0,1.0,0.5582,0.4458
Q02040,Q01081,0.7803,1.0,0.6587,0.2891
Q15910,Q07955,1.0,0.965,0.0865,0.4976
P31150,Q93096,1.0,1.0,0.6401,0.8087
P07196,P17661,1.0,0.4563,0.4995,0.4162
Q99576,O43524,1.0,1.0,1.0,0.9839
P18848,Q9UH92,1.0,1.0,0.9414,0.7843
P01100,P49736,1.0,0.8196,1.0,1.0
P04637,P31269,0.5082,0.5152,0.62,1.0
Q16828,Q93096,0.5314,1.0,0.9618,1.0
P28482,Q8N5F7,1.0,0.7504,1.0,1.0
Q05516,O95983,1.0,0.4188,0.8038,0.5678
P27348,O43524,0.5548,1.0,1.0,0.8367
P25963,P36915,1.0,1.0,1.0,0.4728
Q92785,Q9UHR5,1.0,0.8135,1.0,1.0
Q99986,P04637,1.0,0.9897,0.9579,1.0
P04150,P22087,1.0,1.0,0.549,0.1697
P55854,Q9UKY1,0.4304,0.7837,0.6423,0.8619
P26368,Q08170,1.0,0.7801,0.1294,1.0
P08670,Q13330,0.9051,0.7094,1.0,1.0
O75175,Q70SY1,0.648,0.3058,1.0,0.7019
P41240,P05230,0.8385,0.6823,1.0,1.0
P31150,Q9H6S3,0.9083,1.0,1.0,0.7051
P08047,P23511,1.0,0.7023,0.8415,1.0
P18847,Q8TAU0,1.0,1.0,0.7308,0.8038
P62136,P78396,0.9756,0.9831,1.0,0.9671
P35222,Q14192,1.0,1.0,1.0,0.7015
Q9NZQ7,P26038,0.9993,0.8922,0.8728,0.8042
Q86Y07,P51452,1.0,0.9396,0.5284,1.0
P07196,P21246,1.0,1.0,0.238,1.0
O60936,Q01130,0.7299,1.0,1.0,0.9768
Q07021,Q13952,1.0,1.0,0.4903,1.0
P18847,Q13547,1.0,0.4034,0.9002,0.9743
P35222,P04792,1.0,0.9859,1.0,0.2667
P01137,P17980,0.7891,1.0,1.0,0.7189
Q92844,P48730,0.2985,0.8537,0.7253,1.0
P28482,P11473,0.6332,0.5945,0.9782,1.0
O60683,Q92968,0.9378,1.0,1.0,0.0849
Q05516,Q96QF0,0.6974,0.9699,1.0,1.0
P20338,P21731,1.0,1.0,1.0,0.7669
P31150,Q92785,0.6373,1.0,0.6997,1.0
P30260,P20226,1.0,1.0,0.7951,1.0
P49736,P31949,0.6685,0.49,1.0,1.0
P51149,Q16891,1.0,1.0,1.0,0.1588
P18848,Q02535,0.9599,0.5121,1.0,1.0
P51693,Q7L311,1.0,1.0,0.9976,1.0
Q15796,P19793,0.7509,0.5529,0.0874,1.0
O00623,Q92968,1.0,0.5468,0.4326,0.9274
P49736,P49207,0.7816,0.6231,0.9608,1.0
Q8TBX8,Q9NQX6,0.8444,0.8335,1.0,0.8468
P62879,Q9NQX6,0.9459,0.5467,0.7417,1.0
P04792,Q96CV9,1.0,0.7946,1.0,0.4406
Q07021,Q05513,0.5924,0.9732,1.0,0.597
P24941,Q9UBD5,0.7153,0.7936,0.9861,0.7868
P51572,P10415,0.8478,0.7043,1.0,0.8949
O75414,P04637,1.0,1.0,1.0,0.7643
Q14192,Q02535,0.9749,1.0,1.0,0.9911
P04792,Q5T3J3,0.9867,1.0,0.5333,0.9091
P25963,P41240,0.8826,0.816,0.6845,0.6094
P13631,Q15466,0.807,0.5693,0.8943,0.2933
P10828,Q92786,0.0815,0.5234,0.9788,0.5177
P35240,Q92558,1.0,1.0,1.0,0.8597
Q9UBP5,Q92575,0.3565,0.4827,1.0,0.5438
O43559,P61587,1.0,0.8071,1.0,1.0
Q86XR8,P05230,1.0,1.0,1.0,0.396
Q07817,Q9UKY1,0.6314,1.0,1.0,0.6727
P15531,Q13232,1.0,0.8753,0.5865,0.9913
P36915,Q92785,1.0,0.9323,1.0,0.7505
P26641,Q9H213,0.5855,1.0,0.8761,1.0
Q93096,Q9UH92,0.7687,0.8248,1.0,1.0
P51677,P17252,1.0,0.0875,0.5884,1.0
Q14192,P41240,0.4521,1.0,0.7817,1.0
P26368,P26038,0.7754,1.0,0.8293,1.0
Q8TBX8,Q9UHX1,0.5188,1.0,0.9716,0.9164
Q96B97,Q92956,1.0,1.0,0.5472,0.4127
P84022,Q9UM13,1.0,0.5045,0.7777,1.0
P36915,Q9UH92,1.0,1.0,0.8631,1.0
Q13485,Q9BR65,1.0,1.0,0.6622,1.0
O95361,Q01094,0.7525,0.4259,0.6295,1.0
P38936,Q9UHX1,1.0,0.2648,1.0,0.6035
Q9NY72,Q9UBY5,0.4211,1.0,1.0,0.9085
Q05513,P31946,0.7175,0.9809,0.2903,1.0
P25490,O75446,1.0,1.0,0.9238,0.8363
P08670,P25963,1.0,1.0,0.4589,0.8633
Q8TBX8,Q9UHR5,0.5857,1.0,0.3205,0.7581
P17252,P25963,0.9335,1.0,0.7011,0.4264
Q15583,P05067,1.0,1.0,0.1294,0.8976
P24385,P38936,1.0,0.9832,1.0,0.8657
P63162,Q13363,0.9999,0.847,1.0,0.4936
O75400,P21246,1.0,0.964,0.62,1.0
Q9UI95,P62873,0.5873,1.0,0.6143,0.9052
P17980,P42771,0.9376,1.0,1.0,0.8096
Q93096,Q9UHX1,1.0,1.0,0.9408,1.0
P26641,Q5T3J3,1.0,0.9586,1.0,0.9815
Q9H9D4,Q9UHX1,1.0,0.7778,1.0,0.8868
P18847,Q9UH92,1.0,0.9285,1.0,1.0
P25963,Q93096,0.8124,1.0,0.6421,0.5091
P62873,Q6Y2X3,0.8075,0.8649,1.0,1.0
P15976,Q13547,0.6702,1.0,0.9834,0.3577
P38936,P63244,0.8987,0.5577,1.0,1.0
P17036,Q9UHR5,1.0,0.3761,0.6066,1.0
P23297,P25815,1.0,0.7896,0.9798,0.7475
Q8NEU8,P51149,0.9923,0.4661,1.0,0.4451
P15531,Q00987,0.728,0.4437,0.9475,0.7264
Q04771,P05111,1.0,0.8986,1.0,0.9666
Q8N5F7,Q13546,0.9146,0.9388,1.0,0.856
Q08117,O15379,1.0,1.0,1.0,0.9938
P60228,Q8IUI8,0.9382,0.5666,1.0,0.7146
P08621,Q8N5F7,0.8356,0.7038,0.9754,0.9409
P17661,P23297,1.0,0.9923,1.0,0.1858
Q9UH92,Q9UHR5,0.7493,1.0,0.9812,1.0
Q5T3J3,Q7L311,1.0,0.4587,1.0,0.6818
P31946,Q13309,1.0,0.7174,0.9013,0.8264
Q9UM11,P17980,0.2773,0.5694,0.5204,0.5709
O60936,Q07955,0.081,0.2062,0.702,0.5095
P10276,Q00987,0.3913,0.9156,1.0,0.9637
P28482,P24385,1.0,1.0,0.7432,1.0
O75175,Q9UHX1,0.868,0.676,0.4925,0.8364
P24941,P60228,0.3525,1.0,1.0,1.0
Q68DY1,Q9UHX1,0.891,1.0,0.6226,1.0
P28328,Q04724,0.9907,0.9684,0.6498,0.5329
P26641,Q16891,0.6104,0.3636,0.3638,1.0
O14640,P48729,0.8013,1.0,1.0,1.0
P25963,Q92730,0.5648,0.9888,1.0,1.0
P42771,P29590,0.5414,1.0,1.0,1.0
P43403,Q6PIZ9,0.555,0.6039,1.0,0.9773
O75400,Q9H213,0.7896,1.0,0.993,1.0
Q01094,Q06546,1.0,1.0,1.0,1.0
Q13485,Q13547,0.866,1.0,1.0,1.0
Q02535,Q9H2S9,0.083,1.0,0.5249,0.7725
O60936,P63162,1.0,0.6074,0.9141,0.7674
P18847,P36915,0.6,0.6028,0.7712,1.0
P17980,P04637,1.0,1.0,0.9952,1.0
P41240,Q8N2W9,0.3383,0.7978,0.8643,0.7812
P60981,Q9Y2Q3,0.3076,0.9483,0.9759,0.2653
P49841,P08621,1.0,1.0,0.5144,0.7904
Q8IUC6,Q13077,0.3351,1.0,0.8781,0.5951
O75414,P05067,1.0,0.478,1.0,1.0
P15976,Q13077,1.0,0.9737,0.5231,1.0
Q99986,P55209,1.0,0.9089,0.6725,0.9846
O00623,O60683,0.5059,0.6437,0.8817,0.6926
P84022,P36897,1.0,0.9431,0.8633,0.2748
P25815,P31269,0.8857,0.7916,0.9173,1.0
P06493,O75496,1.0,1.0,0.9777,0.8135
P17036,Q93096,0.6703,0.6671,0.9785,1.0
O75175,Q9H2S9,0.9906,0.8263,0.955,0.716
P04792,Q9BUB5,0.9889,0.779,0.9056,0.9151
P04141,P26951,1.0,0.625,0.7837,1.0
Q8TDR0,Q9BUZ4,0.8411,0.9993,1.0,0.8746
Q15796,P48730,0.4554,0.9856,0.8226,1.0
Q05516,P06493,1.0,0.9987,0.8182,1.0
Q96EV8,P48729,1.0,1.0,0.3026,0.7583
P18848,Q16828,0.9397,1.0,1.0,1.0
P36915,Q16828,1.0,1.0,0.9697,1.0
Q92730,Q9H6S3,1.0,0.6201,0.6103,1.0
Q16828,Q68DY1,0.4037,1.0,1.0,0.7623
P62879,Q6Y2X3,0.0823,0.745,0.7578,0.7562
P18847,Q14192,0.6668,0.9596,0.9317,1.0
Q12933,Q9UKG1,0.8154,0.9256,1.0,0.5905
P38936,P11802,1.0,0.5179,1.0,1.0
O15116,O94906,0.405,0.9008,0.2195,0.9785
Q9UDV6,Q9NQX6,0.354,0.6093,0.5958,0.8547
Q13133,P42224,0.618,0.1466,0.0882,0.9054
O75175,P62879,0.7943,0.9672,0.5434,0.8673
Q06587,P25490,0.7812,1.0,0.976,1.0
P06703,P23297,1.0,1.0,0.6041,0.8336
P04637,Q9UKY1,1.0,0.0875,0.7667,0.7578
O75190,P02533,0.6595,0.4661,0.5114,0.8048
Q70SY1,O15492,0.118,1.0,0.9965,0.9681
P17036,Q92730,1.0,1.0,1.0,0.5802
P63165,Q9Y2Q3,0.9872,0.104,0.3309,0.9903
Q16891,Q9H213,1.0,0.7533,0.9881,1.0
Q13239,Q6PIZ9,0.683,1.0,1.0,1.0
Q00987,P25490,0.399,0.736,1.0,0.3224
Q92769,Q15750,1.0,1.0,0.987,1.0
Q96EV8,P62491,0.9814,1.0,1.0,0.5363
P07196,Q5T3J3,0.8382,0.6576,0.3182,1.0
Q06481,P04233,0.3038,0.4285,1.0,1.0
Q8N668,O00244,0.7653,0.4996,1.0,0.8428
P62491,Q9NV70,0.7182,1.0,1.0,0.085
Q15910,Q13643,0.8351,0.8956,1.0,0.7852
P84022,P08621,1.0,0.9346,0.9044,0.7329
P27918,P08174,0.0918,0.9983,0.9203,1.0
P04637,P48729,0.9801,0.7761,1.0,0.6515
O75175,Q9NQX6,1.0,0.7061,1.0,0.8717
Q9ULX6,P13861,1.0,0.2383,1.0,0.4939
Q8TBX8,Q9H6S3,1.0,1.0,0.8638,1.0
Q13077,Q96CA5,0.3214,1.0,0.1938,0.6693
P05787,P17980,1.0,0.8834,1.0,1.0
O75558,Q13643,0.5688,0.7168,0.8947,0.8036
Q92786,P84022,0.6185,1.0,0.3847,0.8135
P18847,Q68DY1,0.4119,1.0,1.0,1.0
Q96CV9,P51149,1.0,0.3393,1.0,1.0
P63162,P08621,0.966,0.7529,1.0,0.4123
Q9UM11,P02533,0.5701,1.0,1.0,0.9155
P23511,P20226,1.0,0.8794,0.9248,0.9985
Q49AN0,Q9UKC9,1.0,1.0,1.0,1.0
P49459,P04637,0.741,0.1835,0.0894,1.0
O43447,P98170,0.9821,1.0,0.656,0.9812
P21246,P55854,0.8148,0.6374,1.0,0.7204
P08700,P32927,0.978,1.0,1.0,1.0
Q9BR65,P11802,1.0,1.0,1.0,0.8401
P20338,P51572,0.8265,1.0,1.0,1.0
Q00987,P04637,1.0,1.0,1.0,0.2549
P25963,Q70SY1,0.2118,1.0,0.1506,0.5836
P11802,Q13547,1.0,0.6455,1.0,1.0
O60936,Q01081,0.7149,1.0,0.9921,1.0
P06493,Q07817,0.7744,0.8514,0.9031,1.0
Q9H2S9,Q9UHX1,0.4899,0.717,1.0,0.7916
P18847,Q9NQX6,0.0818,0.5144,1.0,0.8404
P51572,P08670,0.3913,0.903,0.3166,0.3647
P25963,P31150,0.6433,1.0,0.8201,0.9529
Q13485,P08621,0.9779,0.7243,1.0,0.686
P07196,P51693,1.0,0.9818,1.0,1.0
Q14192,Q9H6S3,0.6737,0.8142,0.0871,0.7016
P36915,Q9UHX1,1.0,1.0,0.8218,0.7666
P36871,P25815,0.4469,0.2122,0.6925,0.6455
P18847,Q92785,0.7776,0.7798,0.9767,0.3014
Q70SY1,Q9UHR5,0.6252,0.9232,0.4394,1.0
P62136,Q9HB40,0.3301,0.4625,0.9947,0.8742
Q70SY1,Q8TBX8,0.4885,1.0,0.6121,0.4468
Q13347,Q04771,0.9497,0.7586,1.0,0.9864
P28482,Q14192,1.0,0.9974,0.6975,1.0
P24385,Q9UBD5,0.5627,0.8732,0.7823,0.5683
P05412,Q9UBD5,0.5549,0.7095,0.4255,0.9761
Q92730,Q92785,0.3629,1.0,1.0,1.0
P21246,P26641,1.0,0.6919,0.5717,1.0
Q16526,Q8NEZ5,0.3678,0.9299,0.5435,1.0
Q08170,Q49A26,1.0,1.0,0.6127,1.0
O15105,P31273,1.0,1.0,1.0,1.0
P63244,Q04759,0.8733,0.7017,0.6732,0.2659
P49768,P10415,0.9082,1.0,0.8291,1.0
P30533,P05067,0.5736,1.0,1.0,0.0849
O75190,P13647,1.0,0.6918,0.6195,0.0829
O75175,Q02535,1.0,0.6093,0.8476,0.6379
Q96I24,Q9UHX1,1.0,1.0,0.4187,1.0
Q92785,Q9H9D4,0.2254,0.9873,1.0,1.0
Q16526,Q07021,0.6733,1.0,1.0,0.9743
P25815,Q92786,1.0,1.0,0.7306,1.0
P50750,Q12933,0.6356,1.0,0.4692,1.0
P18847,Q8TBX8,0.237,0.2038,0.9021,0.6022
O43194,Q9UBU3,0.9244,1.0,0.9038,0.9148
P98170,Q13077,0.3417,0.5072,0.2981,0.4851
P35240,Q9H204,0.9196,1.0,0.4857,0.0831
Q9NV70,P61586,0.8883,1.0,1.0,1.0
P04637,Q13571,0.8697,0.9016,0.9161,1.0
P48729,P48730,0.9217,0.4375,0.7456,1.0
Q01094,P49841,0.8435,1.0,0.649,0.7658
Q13133,Q96RL1,0.7273,1.0,0.9755,0.5968
P01100,P15559,1.0,1.0,1.0,0.5176
Q49AN0,P17980,0.9471,0.9878,1.0,1.0
P08047,Q13547,0.4719,1.0,1.0,1.0
P25963,Q9H6S3,0.1577,0.5248,0.8012,1.0
Q9BUB5,P06730,0.7634,0.9024,1.0,0.8449
P26368,Q01081,1.0,0.9747,1.0,1.0
P41240,Q68DY1,0.9734,1.0,1.0,0.7802
Q16828,Q9NQX6,0.557,1.0,0.7143,1.0
P62879,Q02535,1.0,0.708,0.5792,0.83
Q14192,Q9UH92,1.0,0.6143,0.9009,1.0
P35548,P28360,0.7992,1.0,0.5838,0.5856
P51572,P17706,0.3493,0.8012,1.0,0.6147
P35222,P62136,0.4574,0.0863,0.8375,1.0
Q96B97,Q07955,1.0,0.9868,0.949,0.7087
Q9UKG1,P04792,0.7542,0.9151,0.8757,1.0
Q15910,Q92890,0.4632,1.0,1.0,0.8838
Q15910,O95983,0.1206,0.469,1.0,0.0854
P36915,Q68DY1,0.9429,1.0,0.5756,0.5639
P01100,P05067,0.4327,1.0,1.0,0.6574
P36915,Q9H6S3,1.0,0.4888,1.0,0.516
P21246,P35222,1.0,1.0,0.3859,1.0
O14640,P49841,1.0,1.0,0.5981,1.0
P10398,P10415,0.4372,0.6537,1.0,0.9378
Q16828,P63096,0.3856,0.8432,0.4198,0.7881
Q9UKG1,P51149,1.0,0.9703,1.0,0.7672
Q9UDV6,Q9UH92,0.7079,0.98,0.9848,0.9957
Q9H2S9,Q9H9D4,1.0,0.7348,0.7569,0.6615
Q8TCT9,Q9Y6X1,1.0,0.7703,0.6093,1.0
Q9HAV0,P50148,0.5162,0.2277,0.1688,0.7036
P07196,P26641,0.3318,0.8192,0.6964,0.9088
P27361,P67775,0.7324,0.7739,0.5259,1.0
P31269,P84022,0.9902,0.4982,0.7092,0.8823
P04637,Q8N2W9,0.6031,0.3046,1.0,0.0835
P35240,P20226,1.0,1.0,0.859,1.0
P25963,Q9UHR5,0.4291,0.6897,0.3883,1.0
Q9NQX6,P67775,1.0,0.764,1.0,0.9754
P28482,P84022,0.9538,1.0,0.5235,0.684
Q04759,P31749,1.0,1.0,0.241,1.0
P05412,Q13547,0.9372,1.0,0.9359,1.0
P08621,P63244,0.9664,0.7861,1.0,0.9324
Q14192,Q92730,0.7758,0.8649,1.0,0.8835
P62879,Q9H9D4,0.5434,0.784,1.0,0.9469
P31150,Q02535,0.9938,1.0,0.6542,0.712
O60896,P56589,0.5809,0.662,1.0,1.0
P31150,Q8TBX8,1.0,0.6121,1.0,0.407
Q9H213,Q8N2W9,1.0,1.0,1.0,1.0
P21731,Q9UBU3,1.0,0.2998,0.7729,0.4492
Q5TD97,Q9H9D4,0.2956,1.0,1.0,0.976
P31150,P26038,1.0,0.9329,1.0,0.6543
Q02535,Q93096,0.8741,0.8505,1.0,0.8834
Q7L311,Q8N2W9,0.695,0.9937,0.5516,1.0
Q9H2S9,Q9UH92,0.9027,0.7233,0.5138,1.0
Q16763,P31749,0.7834,1.0,1.0,0.9117
P49841,O43194,1.0,1.0,0.7343,0.6332
Q16254,P84022,1.0,0.8894,0.7039,1.0
P04637,Q9ULX6,1.0,0.4023,0.1984,0.7135
P26641,Q7L311,0.9893,0.6255,0.7751,0.9783
Q15466,P19793,0.5291,0.5966,0.8697,0.9116
P10276,O15379,1.0,1.0,1.0,0.7506
Q15910,P27348,0.8579,0.8574,0.7444,0.3255
P18847,Q16828,0.883,1.0,1.0,1.0
P24385,P05787,1.0,1.0,0.9518,0.0827
P15509,P08700,0.9863,1.0,0.4089,0.9068
P25815,P07196,1.0,0.7952,0.9823,0.7815
Q00987,Q92769,0.8672,0.9781,1.0,1.0
P61587,Q13309,0.5047,0.9836,0.297,0.4974
P31150,Q16828,0.747,0.9954,0.4014,1.0
P28482,P42771,1.0,0.6191,1.0,1.0
P45983,Q06481,0.421,0.5454,0.9951,0.6722
P18847,Q9UHX1,1.0,0.9079,0.4982,0.9808
Q68DY1,Q92730,0.4661,0.1301,0.9884,0.9518
Q13571,Q6PIZ9,1.0,0.859,0.3508,1.0
Q8N668,P25963,1.0,1.0,0.8202,0.5661
Q16828,Q9H2S9,1.0,0.6374,1.0,0.0848
P06493,P26951,0.9808,0.5541,1.0,1.0
Q13952,Q13547,0.6685,1.0,0.5411,0.9828
Q9BQY9,P48729,0.977,0.949,0.9894,1.0
Q12933,Q07955,0.2104,1.0,0.1353,0.5512
Q9NQX6,Q9UHR5,0.7955,1.0,0.0877,1.0
P10147,P08174,0.3327,1.0,0.6915,0.9959
P62879,Q14192,0.7088,1.0,1.0,1.0
O00167,P15531,1.0,0.7514,0.4588,0.8542
Q8TBX8,Q9UH92,0.6102,0.6042,1.0,1.0
P42771,Q01094,1.0,0.9186,0.7892,0.8154
Q9UJW3,Q16254,0.98,0.5524,1.0,0.3602
Q15910,P84022,0.8543,0.6942,0.9152,0.7172
P18847,P41240,0.7085,0.813,0.7619,0.6542
Q8TBX8,Q92785,0.764,0.9888,0.777,0.3302
Q7Z434,Q92575,0.8657,0.9071,0.6685,0.5594
O15116,O95777,0.9503,0.6923,0.7597,1.0
Q13347,P60842,0.9374,1.0,0.9187,0.7753
P04637,Q13232,0.9951,1.0,1.0,0.7308
O75175,Q92785,0.7512,0.8908,0.9815,1.0
Q86XR8,P05787,0.8593,0.8187,0.6268,1.0
Q8TCT9,P04233,1.0,1.0,1.0,1.0
Q68DY1,Q9UH92,1.0,0.5033,1.0,0.9277
P19793,Q05516,1.0,0.6934,0.618,0.9917
Q15276,Q86XR8,0.5574,1.0,0.9556,0.7937
P55854,Q16891,1.0,1.0,1.0,0.9076
P01137,P50750,1.0,1.0,1.0,1.0
P49841,Q9UHR5,0.7117,0.7365,0.5959,0.8822
P60842,P60228,1.0,1.0,0.1157,0.6109
Q16384,Q96I24,0.9363,1.0,1.0,0.5502
P18847,Q02535,1.0,1.0,0.5924,0.4616
P35222,P62491,0.6671,0.0842,0.8228,0.3969
P23511,P38936,0.2088,1.0,0.9856,0.6594
Q9ULZ3,P29590,0.7023,0.6726,0.9849,1.0
Q13643,Q08117,0.824,0.8207,0.9075,0.8626
Q16828,Q8TAU0,0.448,0.3363,0.4961,0.238
Q969F2,O14640,0.9482,0.8425,0.8099,1.0
Q92785,Q9H2S9,0.5522,0.9191,0.6203,0.7962
Q93096,Q9H6S3,0.7046,1.0,1.0,0.8795
Q49AN0,Q12933,0.4309,1.0,1.0,1.0
P51693,Q9H213,0.4338,1.0,0.8521,0.3563
P62879,Q68DY1,1.0,0.6722,0.9975,0.1907
P41240,P05412,1.0,0.8158,0.9434,0.1066
P11802,P07948,0.3928,0.6433,1.0,0.2679
Q9UM11,P60842,0.8272,0.9464,0.8885,0.3464
O15379,P18847,0.8996,1.0,0.8593,0.8557
P18848,Q92785,1.0,1.0,0.8007,0.6248
P17036,P31150,0.4925,0.231,1.0,0.6451
P63244,P63096,1.0,0.8879,0.9423,1.0
P19793,Q96RL1,0.6807,1.0,0.64,1.0
Q70SY1,Q9UHX1,1.0,1.0,0.2848,0.5757
P04792,P60842,0.6018,0.8763,1.0,1.0
P10398,P49207,0.4096,0.8241,0.7219,0.0846
P62879,P42224,1.0,0.5739,0.9612,0.9955
Q8NEU8,Q8IUI8,0.9848,0.4125,0.6835,0.7952
P62879,Q16828,0.9305,1.0,0.6754,0.6669
Q9NY72,P04637,1.0,0.7937,1.0,0.9641
P19793,Q13133,0.532,0.0868,1.0,1.0
Q8TBX8,Q9H2S9,0.9851,1.0,0.2489,1.0
Q9BR65,P28482,0.8987,0.875,0.1616,0.5941
P42224,Q8TAE8,0.9858,1.0,0.9461,1.0
P01100,Q00987,1.0,1.0,0.5485,1.0
Q08117,Q01105,0.9824,1.0,1.0,1.0
P28328,P56589,0.9307,0.9813,1.0,1.0
Q00987,Q14192,0.6302,0.7575,0.9767,0.9979
O75190,P14136,0.2696,1.0,1.0,0.9823
Q13158,Q8IUC6,1.0,1.0,0.0893,0.7788
Q9H2S9,Q9UHR5,0.5624,0.9096,0.9073,0.6482
Q13642,Q5TD97,0.3439,1.0,0.3494,0.9728
Q12933,P48729,0.8664,1.0,0.4025,0.9759
P10276,A6NIX2,1.0,0.8298,1.0,0.8647
Q92769,Q15942,0.9862,1.0,0.979,0.9692
P36915,Q14192,0.7133,0.512,0.9166,1.0
P41240,Q93096,1.0,1.0,0.6038,1.0
Q16828,Q92572,0.98,0.7368,0.3522,1.0
Q07812,P25490,1.0,0.3209,1.0,0.978
