Seq_A,Seq_B,RR,RP,LR,LP
O75400,P26641,0.8704,0.4405,0.4224,1.0
O75175,P31150,0.4169,0.953,0.3134,0.6165
P17036,P36915,0.5793,0.9837,0.4641,0.7337
P08047,P20226,0.7832,0.8211,0.5048,0.7468
P18848,Q9NQX6,0.8645,0.437,0.4364,0.6389
P18848,Q68DY1,0.7822,0.6427,0.772,0.6925
P04637,P10145,0.2848,0.4528,0.9198,0.3594
P04637,P51149,0.9521,0.7095,0.8586,0.4477
P18847,P62879,1.0,0.8691,0.5802,0.8686
P25490,Q15910,0.9982,0.6559,0.4813,0.7436
O75190,P05787,0.9804,0.609,0.7926,0.7077
P07196,P55854,0.5843,0.9549,0.5616,0.5793
O00167,Q9BUZ4,0.5933,0.6217,0.6788,0.9093
O75175,Q9UHR5,0.8096,0.5339,0.5219,0.4027
P24941,P27348,0.9854,0.9506,0.5306,0.7012
P14136,P05787,0.6545,0.3242,0.9222,1.0
O75175,Q92730,0.4332,0.5709,1.0,0.9599
P17036,Q16828,0.9696,0.4599,0.5577,0.4817
O95361,Q9ULZ3,0.8159,0.4987,0.4276,0.714
P13861,P49841,0.7981,0.9123,1.0,1.0
P15531,P04792,1.0,0.4939,0.7686,1.0
P17036,Q9UH92,0.6151,0.7722,0.8253,1.0
P18848,Q93096,0.7646,0.7244,0.6253,0.6156
O75175,Q9UH92,0.9518,0.9113,0.1321,0.8672
P15172,Q01105,1.0,0.9415,0.8273,0.4891
P17036,Q9NQX6,1.0,0.4648,0.8552,0.4791
P18848,P41240,0.6428,0.99,0.8941,0.6076
O75496,P49736,0.7378,0.8045,0.5466,0.9574
P06730,Q9UKV8,0.2475,0.0335,0.5358,0.4253
P17706,P31946,1.0,1.0,0.585,1.0
P04637,Q9H469,0.7871,0.581,0.4307,0.3095
P18848,Q00987,0.7903,0.8782,0.747,0.6342
O75175,P41240,0.8821,0.4979,0.952,0.815
P24941,P63244,0.2209,0.7751,0.7541,0.6357
P06730,Q9HB40,0.9489,1.0,0.999,0.043
P07948,P17252,0.6626,0.2063,0.9848,1.0
P02545,P17706,0.8773,0.5925,0.99,0.7534
P18847,Q92730,0.7902,0.7734,1.0,0.6917
P20226,P01100,0.8503,0.7235,0.7692,0.9631
O60936,Q13247,0.6489,1.0,0.8123,0.1474
P17036,Q8TAU0,0.7501,0.3068,0.7016,0.9275
O75190,P36871,0.4025,0.6676,0.9814,1.0
O75175,Q68DY1,0.3474,0.99,0.5673,1.0
P17036,Q9UHX1,0.7807,0.2493,0.4904,0.4509
P06493,Q01094,0.9102,0.3347,1.0,0.5026
P17036,Q8TBX8,1.0,0.6304,0.5243,0.4628
O00716,Q14192,0.332,0.7104,0.7978,0.5483
P10415,Q07820,0.1057,0.1544,0.4899,0.9219
P10828,O15379,1.0,0.5248,0.4712,0.5833
O00220,Q13158,0.8567,0.6888,0.5436,0.0499
P21731,P62491,0.5157,0.5544,0.3469,0.1886
P11802,Q15796,0.7902,0.4656,0.4715,0.9155
P08621,Q13247,0.6377,0.5519,0.53,0.5805
P11802,Q9UBD5,0.8935,0.9956,0.765,0.5721
P01100,P48730,0.9269,0.6074,1.0,0.603
O60936,Q08170,0.3829,0.6306,0.8052,0.9375
P04637,P62995,0.8012,1.0,1.0,0.2528
P06753,P60981,0.9537,0.6867,0.5624,1.0
O15105,Q15750,0.7938,1.0,0.6735,0.4614
P04637,Q9UBD5,0.673,0.1979,0.4844,1.0
O75175,P17036,0.6365,0.8205,0.8198,0.8101
O75175,Q9H6S3,0.1243,0.2793,1.0,0.3813
O75446,Q06330,0.3523,1.0,0.5314,0.8388
P04637,P25311,0.6496,0.989,0.9866,0.167
P10276,P31749,0.8925,0.2237,0.0363,0.5829
P17980,Q15750,0.6744,0.3377,0.918,0.692
P24941,O75496,0.8634,0.5567,1.0,0.7773
P11473,Q96RL1,1.0,0.9407,0.7319,0.776
P24941,Q00526,0.0386,0.463,1.0,0.5781
P18847,P31150,0.4619,0.4055,0.8226,0.9489
O75175,Q93096,0.5284,1.0,0.799,0.8752
P17036,Q68DY1,0.4057,0.9659,1.0,0.5657
P04150,P62491,0.3556,0.3987,0.5642,0.8436
P17036,P41240,0.7906,1.0,0.0363,0.939
P06729,Q96B97,0.7357,0.1652,0.7148,0.4036
O15105,P31269,1.0,0.503,0.6106,0.6631
O75190,P17661,0.4394,1.0,0.8024,0.4723
O75888,Q92956,0.9999,0.1888,1.0,0.6109
P04233,P60842,0.5233,0.5677,0.3835,0.3848
P05067,P13861,1.0,0.2775,0.1462,0.2676
P24941,Q15796,0.8693,0.0658,0.5192,0.8859
O00238,P01137,0.2498,1.0,1.0,0.5778
O75175,P18848,0.8194,0.5815,0.6115,0.5566
O75175,Q16828,1.0,0.9413,0.6134,0.5057
P08621,Q9BUQ8,0.5506,0.2652,0.7346,0.6786
P17980,Q16143,0.6463,1.0,0.6294,1.0
P17036,P25963,0.878,0.7284,0.5702,0.3358
O43739,P10276,0.3208,0.4563,0.6941,1.0
P11473,P04637,0.7359,0.9537,0.7534,0.9608
P08670,O95361,0.9086,0.1546,1.0,0.8294
P02545,P17036,0.5725,0.5387,0.7112,0.6518
O43524,Q13309,0.5001,0.2973,0.7108,0.7576
O75175,Q8TBX8,0.825,0.6524,0.9243,1.0
P17036,Q14192,0.6124,0.6016,0.8997,0.9174
P17706,P05067,0.8494,0.2696,0.7913,0.6286
P17036,P18848,0.4766,1.0,0.7667,1.0
P07948,O15492,0.742,0.7633,1.0,0.6962
P04637,P56597,0.685,0.1118,0.8811,1.0
P18847,Q93096,0.3046,0.0335,0.8423,0.4917
P21731,P63244,0.5613,1.0,0.7504,0.1999
P10398,P13647,0.9089,0.9433,0.5817,0.3883
P18848,Q14192,0.6715,0.6589,0.3795,0.9965
P22681,P51965,0.9372,0.0503,0.9761,1.0
P04156,P27361,0.8538,0.6159,0.5275,0.6413
P15976,Q08117,0.6553,0.7074,0.3955,0.5197
P13631,Q96RL1,1.0,1.0,0.9862,0.6159
P04156,P27348,0.9937,0.9033,0.4215,0.8722
P02545,Q15797,0.7634,0.652,0.5741,0.9819
P22087,Q00688,0.6748,0.0335,0.5772,0.2593
P24385,Q15797,0.7376,0.6635,0.8032,0.0792
P18848,Q9UHR5,0.7981,1.0,0.641,0.9966
O15379,O15105,0.3456,0.8544,0.3904,0.8399
P22681,Q6PIZ9,0.6355,0.3591,1.0,1.0
P20338,Q7Z434,0.8281,0.6623,0.4147,1.0
P06729,P13987,0.0725,0.7915,0.2991,0.4606
P08670,P51693,0.6517,0.2339,0.9787,0.5225
P04150,P04637,0.469,0.9983,0.486,0.7535
O60936,P84103,0.8561,0.8967,0.6959,1.0
O15379,P25490,1.0,0.3344,0.8491,0.5684
